LOC111124508	GO:0000209; GO:0008270; GO:0043161; GO:0061630
LOC111125386	GO:0005789; GO:0005789; GO:0030433; GO:0030968; GO:0030970; GO:0036502; GO:0036513
LOC111125498	GO:0000340; GO:0000902; GO:0006417; GO:0007411; GO:0030031; GO:0030833; GO:0030833; GO:0031209; GO:0031267; GO:0031267; GO:0043005; GO:0045202
LOC111125544	GO:0005315; GO:0005315; GO:0016020; GO:0016020; GO:0035435
LOC111125717	GO:0003723
LOC111126240	GO:0005576
LOC111126579	GO:0000785; GO:0003682; GO:0005634; GO:0005634; GO:0006334; GO:0006334; GO:0042393
LOC111126780	GO:0005515; GO:0005813; GO:0036064; GO:0060287
LOC111128063	GO:0005509; GO:0005886; GO:0030018; GO:0030036; GO:0030054; GO:0030864; GO:0042995; GO:0051015; GO:0055001
LOC111128115	GO:0005634; GO:0005737; GO:0016567; GO:0019941; GO:0031386; GO:0031625
LOC111128753	GO:0004735; GO:0004735; GO:0055129
LOC111128766	GO:0017124
LOC111129294	GO:0005515
LOC111129446	GO:0005886; GO:0007411; GO:0046875; GO:0048013
LOC111129691	GO:0003682; GO:0005515; GO:0005737
LOC111129928	GO:0003746; GO:0005634; GO:0005737; GO:0006414; GO:0006414
LOC111130079	GO:0004865; GO:0005737; GO:0005737; GO:0042325; GO:0042325
LOC111130355	GO:0003723
LOC111130375	GO:0005515; GO:0008270; GO:0033209; GO:0042981; GO:0043122; GO:0046330; GO:0070534; GO:0098802
LOC111130470	GO:0030246
LOC111130935	GO:0003677; GO:0005515; GO:0046872
LOC111131356	GO:0005622; GO:0035556
LOC111132216	GO:0004222; GO:0004222; GO:0006508; GO:0008270
LOC111132503	GO:0000122; GO:0000785; GO:0003677; GO:0003677; GO:0003682; GO:0005634; GO:0006338; GO:0006338; GO:0016887; GO:0042393; GO:0140658
LOC111132924	GO:0005515; GO:0005886; GO:0007156
LOC111132928	GO:0005515; GO:0005615
LOC111134210	GO:0000977; GO:0000981; GO:0000981; GO:0006357
LOC111134230	GO:0005737; GO:0005856; GO:0030866; GO:0035556; GO:0051015; GO:0051639
LOC111134527	GO:0005813; GO:0005814; GO:0005829; GO:0046599
LOC111134732	GO:0003690; GO:0005515; GO:0005524; GO:0005694; GO:0007064; GO:0016887; GO:0061775
LOC111135077	GO:0000462; GO:0003735; GO:0003735; GO:0005840; GO:0005840; GO:0006412; GO:0006412; GO:0022627
LOC111135152	GO:0005261; GO:0016020; GO:0098655
LOC111135171	GO:0005634; GO:0005737; GO:0031122; GO:0035371; GO:0051010
LOC111135408	GO:0005484; GO:0005886; GO:0006906; GO:0016192; GO:0019905; GO:0031201
LOC111135637	GO:0005737; GO:0036064; GO:0046983; GO:0060271
LOC111136641	GO:0005509
LOC111136994	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111137255	GO:0005515
LOC111137638	GO:0030515; GO:0031428; GO:0032040
LOC111138137	GO:0005515; GO:0019005; GO:0035556; GO:0043161
LOC111138235	GO:0003730; GO:0005634; GO:0005829; GO:0008143; GO:0008266; GO:0010494; GO:1990904
LOC111138395	GO:0003352; GO:0005858; GO:0005930; GO:0060285; GO:0070286
LOC111138521	GO:0004731; GO:0004731; GO:0005737; GO:0009116
