"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111128966","GO:0042393","histone binding",71,7,3.12,0.03271,"Molecular Functions",0.0985915492957746,"Core: All Outliers"
"LOC111128998","GO:0051015","actin filament binding",117,16,5.13,5.2e-05,"Molecular Functions",0.136752136752137,"Core: All Outliers"
"LOC111128999","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111129098","GO:0008379","thioredoxin peroxidase activity",6,2,0.26,0.02564,"Molecular Functions",0.333333333333333,"Core: All Outliers"
"LOC111129185","GO:0008270","zinc ion binding",2113,123,92.71,0.00062,"Molecular Functions",0.0582110743019404,"Core: All Outliers"
"LOC111129312","GO:0019871","sodium channel inhibitor activity",1,1,0.04,0.04388,"Molecular Functions",1,"Core: All Outliers"
"LOC111129312","GO:0061630","ubiquitin protein ligase activity",601,69,26.37,2.4e-13,"Molecular Functions",0.114808652246256,"Core: All Outliers"
"LOC111129339","GO:0003682","chromatin binding",141,11,6.19,0.01939,"Molecular Functions",0.0780141843971631,"Core: All Outliers"
"LOC111129377","GO:0045504","dynein heavy chain binding",15,3,0.66,0.0258,"Molecular Functions",0.2,"Core: All Outliers"
"LOC111129410","GO:0003723","RNA binding",833,78,36.55,0.00018,"Molecular Functions",0.0936374549819928,"Core: All Outliers"
"LOC111129410","GO:0003735","structural constituent of ribosome",174,22,7.63,8.1e-06,"Molecular Functions",0.126436781609195,"Core: All Outliers"
"LOC111129434","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111129434","GO:0030234","enzyme regulator activity",566,28,24.83,0.01178,"Molecular Functions",0.049469964664311,"Core: All Outliers"
"LOC111129443","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111129443","GO:0030234","enzyme regulator activity",566,28,24.83,0.01178,"Molecular Functions",0.049469964664311,"Core: All Outliers"
"LOC111129621","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111129621","GO:0030234","enzyme regulator activity",566,28,24.83,0.01178,"Molecular Functions",0.049469964664311,"Core: All Outliers"
"LOC111129659","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111129691","GO:0003682","chromatin binding",141,11,6.19,0.01939,"Molecular Functions",0.0780141843971631,"Core: All Outliers"
"LOC111129719","GO:0098632","cell-cell adhesion mediator activity",29,5,1.27,0.00794,"Molecular Functions",0.172413793103448,"Core: All Outliers"
"LOC111129798","GO:0016807","cysteine-type carboxypeptidase activity",1,1,0.04,0.04388,"Molecular Functions",1,"Core: All Outliers"
"LOC111129799","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111129799","GO:0030234","enzyme regulator activity",566,28,24.83,0.01178,"Molecular Functions",0.049469964664311,"Core: All Outliers"
"LOC111129814","GO:0008270","zinc ion binding",2113,123,92.71,0.00062,"Molecular Functions",0.0582110743019404,"Core: All Outliers"
"LOC111129841","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111129841","GO:0016887","ATPase activity",359,39,15.75,8.7e-05,"Molecular Functions",0.108635097493036,"Core: All Outliers"
"LOC111129841","GO:0051082","unfolded protein binding",66,14,2.9,8.1e-07,"Molecular Functions",0.212121212121212,"Core: All Outliers"
"LOC111129841","GO:0097718","disordered domain specific binding",1,1,0.04,0.04388,"Molecular Functions",1,"Core: All Outliers"
"LOC111129882","GO:0005509","calcium ion binding",846,50,37.12,0.02006,"Molecular Functions",0.0591016548463357,"Core: All Outliers"
"LOC111129958","GO:0003924","GTPase activity",294,24,12.9,0.0027,"Molecular Functions",0.0816326530612245,"Core: All Outliers"
"LOC111130138","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111130192","GO:0008270","zinc ion binding",2113,123,92.71,0.00062,"Molecular Functions",0.0582110743019404,"Core: All Outliers"
"LOC111130217","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111130239","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111130239","GO:0047325","inositol tetrakisphosphate 1-kinase activity",1,1,0.04,0.04388,"Molecular Functions",1,"Core: All Outliers"
"LOC111130239","GO:0052725","inositol-1,3,4-trisphosphate 6-kinase activity",1,1,0.04,0.04388,"Molecular Functions",1,"Core: All Outliers"
"LOC111130239","GO:0052726","inositol-1,3,4-trisphosphate 5-kinase activity",1,1,0.04,0.04388,"Molecular Functions",1,"Core: All Outliers"
"LOC111130343","GO:0005524","ATP binding",1286,84,56.42,0.00016,"Molecular Functions",0.0653188180404355,"Core: All Outliers"
"LOC111130343","GO:0008569","ATP-dependent microtubule motor activity, minus-end-directed",31,6,1.36,0.00201,"Molecular Functions",0.193548387096774,"Core: All Outliers"
"LOC111130343","GO:0016887","ATPase activity",359,39,15.75,8.7e-05,"Molecular Functions",0.108635097493036,"Core: All Outliers"
"LOC111130343","GO:0045505","dynein intermediate chain binding",63,8,2.76,0.00608,"Molecular Functions",0.126984126984127,"Core: All Outliers"
"LOC111130343","GO:0051959","dynein light intermediate chain binding",37,8,1.62,0.00017,"Molecular Functions",0.216216216216216,"Core: All Outliers"
"LOC111130355","GO:0003723","RNA binding",833,78,36.55,0.00018,"Molecular Functions",0.0936374549819928,"Core: All Outliers"
"LOC111130424","GO:0008270","zinc ion binding",2113,123,92.71,0.00062,"Molecular Functions",0.0582110743019404,"Core: All Outliers"
"LOC111130453","GO:0008270","zinc ion binding",2113,123,92.71,0.00062,"Molecular Functions",0.0582110743019404,"Core: All Outliers"
"LOC111130453","GO:0030371","translation repressor activity",233,43,10.22,1.7e-15,"Molecular Functions",0.184549356223176,"Core: All Outliers"
