LOC111110733	GO:0000209; GO:0008270; GO:0043161; GO:0061630
LOC111110808	GO:0031409
LOC111110975	GO:0005886
LOC111111107	GO:0003743; GO:0005737; GO:0005852; GO:0005886; GO:0007156; GO:0007411; GO:0030424; GO:0070593; GO:0098632
LOC111111223	GO:0001708; GO:0005881; GO:0007026; GO:0007389; GO:0007399; GO:0008013; GO:0008013; GO:0008017; GO:0016055; GO:0016342; GO:0016477; GO:0030877; GO:0045295; GO:0045595; GO:0045732; GO:0090090
LOC111111252	GO:0017136; GO:0070403
LOC111111600	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111111679	GO:0000209; GO:0000785; GO:0005515; GO:0005654; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0045893; GO:0061630
LOC111111685	GO:0000209; GO:0005515; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111111696	GO:0003906; GO:0003950; GO:0005634; GO:0006302; GO:0008408; GO:0035861
LOC111111835	GO:0008270
LOC111111836	GO:0000209; GO:0008270; GO:0043161; GO:0061630
LOC111111839	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111111998	GO:0000245; GO:0003729; GO:0005686; GO:0005689; GO:0071004; GO:0071013
LOC111112049	GO:0005509; GO:0005509; GO:0005576; GO:0005576; GO:0005764; GO:0007160; GO:0007160
LOC111112118	GO:0004343; GO:0005783; GO:0005793; GO:0005794; GO:0006048; GO:0048029
LOC111112130	GO:0007601
LOC111112225	GO:0006486; GO:0006486; GO:0016020; GO:0016020; GO:0036065; GO:0046920
LOC111112296	GO:0005813; GO:0007099
LOC111112319	GO:0003924; GO:0005525; GO:0005525; GO:0005737; GO:0005886; GO:0006886; GO:0016192
LOC111112387	GO:0005515
LOC111112513	GO:0005739; GO:0052856
LOC111112605	GO:0001726; GO:0005178; GO:0005200; GO:0005856; GO:0005886; GO:0005925; GO:0005925; GO:0051015; GO:0098609
LOC111112625	GO:0001664; GO:0001664; GO:0003924; GO:0003924; GO:0005834; GO:0007188; GO:0019001; GO:0019001; GO:0031683; GO:0031683
LOC111112733	GO:0003729; GO:0005634; GO:0005737; GO:0006357; GO:0048024
LOC111112749	GO:0004866; GO:0005515; GO:0005576; GO:0005615
LOC111112787	GO:0005515
LOC111112987	GO:0003676; GO:0003724; GO:0005524
LOC111113100	GO:0005912; GO:0007156; GO:0007157
LOC111113166	GO:0004222; GO:0005509; GO:0006508; GO:0008270; GO:0016020
LOC111113172	GO:0005515; GO:0007165
LOC111113266	GO:0016197; GO:0031083
LOC111113447	GO:0005524; GO:0007018; GO:0008569; GO:0016887; GO:0030286; GO:0045505; GO:0051959
LOC111113970	GO:0003341; GO:0008017; GO:0015630
LOC111114173	GO:0004441
LOC111114212	GO:0005198; GO:0005515; GO:0006886; GO:0006886; GO:0006888; GO:0006888; GO:0006890; GO:0006891; GO:0030126; GO:0030126
LOC111114229	GO:0000900; GO:0004372; GO:0004372; GO:0005634; GO:0005737; GO:0005829; GO:0006565; GO:0008270; GO:0009113; GO:0019264; GO:0019264; GO:0030170; GO:0030170; GO:0035999; GO:0035999; GO:0042803; GO:0046655; GO:0048027; GO:0050897; GO:0051289; GO:0070905
LOC111114521	GO:0000209; GO:0005515; GO:0008270; GO:0017148; GO:0030371; GO:0043161; GO:0061630
LOC111114596	GO:0004733; GO:0004733; GO:0008615; GO:0008615; GO:0010181; GO:0010181; GO:0042823
LOC111114657	GO:0016020
LOC111114794	GO:0008270
LOC111114885	GO:0097225; GO:0097730; GO:1902093
LOC111114909	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111114920	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111114922	GO:0000785; GO:0004842; GO:0005654; GO:0008270; GO:0045893
LOC111115186	GO:0000785; GO:0004842; GO:0005515; GO:0005654; GO:0008270; GO:0045893
LOC111115338	GO:0000978; GO:0000981; GO:0005515; GO:0005634; GO:0005667; GO:0006357
LOC111115508	GO:0003777; GO:0003777; GO:0005524; GO:0007018; GO:0007018; GO:0008017
LOC111115532	GO:0000062; GO:0000062; GO:0006631
LOC111115657	GO:0016020
LOC111115910	GO:0005452; GO:0005452; GO:0005886; GO:0006820; GO:0006820; GO:0008509; GO:0008510; GO:0015701; GO:0051453; GO:0055085
LOC111116030	GO:0005737; GO:0005813; GO:0005869; GO:0005869; GO:0007052
LOC111116065	GO:0004648; GO:0004648; GO:0005737; GO:0006564; GO:0006564; GO:0030170
LOC111116085	GO:0004930; GO:0005044; GO:0007166; GO:0007186; GO:0016020; GO:0016525
LOC111116095	GO:0004930; GO:0007166; GO:0007186; GO:0016020; GO:0016525
LOC111116158	GO:0005178; GO:0005925; GO:0007160; GO:0007229; GO:0008305; GO:0009986; GO:0016477; GO:0033627
