"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111101860","GO:0002181","cytoplasmic translation",52,9,2.49,0.00988,"Biological Processes",0.173076923076923,"CASE"
"LOC111101967","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111101967","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111101967","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111102380","GO:0006412","translation",636,67,30.49,0.00129,"Biological Processes",0.105345911949686,"CASE"
"LOC111102580","GO:0006335","DNA replication-dependent nucleosome assembly",5,2,0.24,0.02084,"Biological Processes",0.4,"CASE"
"LOC111102685","GO:0007018","microtubule-based movement",204,24,9.78,0.02839,"Biological Processes",0.117647058823529,"CASE"
"LOC111103020","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111103020","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111103020","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111103170","GO:0006412","translation",636,67,30.49,0.00129,"Biological Processes",0.105345911949686,"CASE"
"LOC111103170","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111103647","GO:0032874","positive regulation of stress-activated MAPK cascade",19,2,0.91,0.04793,"Biological Processes",0.105263157894737,"CASE"
"LOC111105616","GO:0006412","translation",636,67,30.49,0.00129,"Biological Processes",0.105345911949686,"CASE"
"LOC111105703","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111105703","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111106468","GO:0006412","translation",636,67,30.49,0.00129,"Biological Processes",0.105345911949686,"CASE"
"LOC111106953","GO:0060271","cilium assembly",165,19,7.91,0.02308,"Biological Processes",0.115151515151515,"CASE"
"LOC111107136","GO:0006457","protein folding",130,16,6.23,0.00014,"Biological Processes",0.123076923076923,"CASE"
"LOC111107136","GO:0030433","ubiquitin-dependent ERAD pathway",48,7,2.3,0.0075,"Biological Processes",0.145833333333333,"CASE"
"LOC111107264","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111107264","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111107264","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111107274","GO:1990547","mitochondrial phosphate ion transmembrane transport",1,1,0.05,0.04794,"Biological Processes",1,"CASE"
"LOC111107328","GO:0003341","cilium movement",51,12,2.44,0.00479,"Biological Processes",0.235294117647059,"CASE"
"LOC111107328","GO:0060271","cilium assembly",165,19,7.91,0.02308,"Biological Processes",0.115151515151515,"CASE"
"LOC111107786","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111107786","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111107874","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111107874","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111107875","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111107875","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111107875","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111108397","GO:0030162","regulation of proteolysis",124,5,5.94,0.04133,"Biological Processes",0.0403225806451613,"CASE"
"LOC111108397","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111108442","GO:0006616","SRP-dependent cotranslational protein targeting to membrane, translocation",3,2,0.14,0.00667,"Biological Processes",0.666666666666667,"CASE"
"LOC111109514","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111109514","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111110034","GO:0060271","cilium assembly",165,19,7.91,0.02308,"Biological Processes",0.115151515151515,"CASE"
"LOC111110733","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111110733","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111111107","GO:0007411","axon guidance",86,11,4.12,0.01501,"Biological Processes",0.127906976744186,"CASE"
"LOC111111107","GO:0070593","dendrite self-avoidance",27,4,1.29,0.03824,"Biological Processes",0.148148148148148,"CASE"
"LOC111111223","GO:0090090","negative regulation of canonical Wnt signaling pathway",12,3,0.58,0.01745,"Biological Processes",0.25,"CASE"
"LOC111111679","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111111679","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111111679","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111111685","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111111685","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111111685","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111111836","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111111836","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111112733","GO:0048024","regulation of mRNA splicing, via spliceosome",26,5,1.25,0.01017,"Biological Processes",0.192307692307692,"CASE"
"LOC111113447","GO:0007018","microtubule-based movement",204,24,9.78,0.02839,"Biological Processes",0.117647058823529,"CASE"
"LOC111113970","GO:0003341","cilium movement",51,12,2.44,0.00479,"Biological Processes",0.235294117647059,"CASE"
"LOC111114521","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111114521","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111114521","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111115508","GO:0007018","microtubule-based movement",204,24,9.78,0.02839,"Biological Processes",0.117647058823529,"CASE"
"LOC111116587","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111116587","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111116587","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111116974","GO:0032780","negative regulation of ATPase activity",1,1,0.05,0.04794,"Biological Processes",1,"CASE"
"LOC111117740","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111117740","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111117740","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111117742","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111117742","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111117742","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
"LOC111117748","GO:0000209","protein polyubiquitination",544,42,26.08,0.00206,"Biological Processes",0.0772058823529412,"CASE"
"LOC111117748","GO:0017148","negative regulation of translation",250,30,11.99,8.8e-06,"Biological Processes",0.12,"CASE"
"LOC111117748","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",655,56,31.4,1e-04,"Biological Processes",0.0854961832061069,"CASE"
