"gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes","stressor"
"LOC111133296","GO:0030371","translation repressor activity",233,22,6.86,3.8e-06,"Molecular Functions",0.0944206008583691,"Core: CASE"
"LOC111133296","GO:0061630","ubiquitin protein ligase activity",601,40,17.69,1.5e-06,"Molecular Functions",0.0665557404326123,"Core: CASE"
"LOC111133298","GO:0030371","translation repressor activity",233,22,6.86,3.8e-06,"Molecular Functions",0.0944206008583691,"Core: CASE"
"LOC111133298","GO:0061630","ubiquitin protein ligase activity",601,40,17.69,1.5e-06,"Molecular Functions",0.0665557404326123,"Core: CASE"
"LOC111133363","GO:0019776","Atg8 ligase activity",1,1,0.03,0.02944,"Molecular Functions",1,"Core: CASE"
"LOC111133545","GO:0098632","cell-cell adhesion mediator activity",29,5,0.85,0.00144,"Molecular Functions",0.172413793103448,"Core: CASE"
"LOC111133592","GO:0003924","GTPase activity",294,17,8.65,0.00652,"Molecular Functions",0.0578231292517007,"Core: CASE"
"LOC111133922","GO:0003729","mRNA binding",160,17,4.71,1.4e-05,"Molecular Functions",0.10625,"Core: CASE"
"LOC111133922","GO:0003743","translation initiation factor activity",48,10,1.41,1.1e-06,"Molecular Functions",0.208333333333333,"Core: CASE"
"LOC111134148","GO:0003924","GTPase activity",294,17,8.65,0.00652,"Molecular Functions",0.0578231292517007,"Core: CASE"
"LOC111134227","GO:0003729","mRNA binding",160,17,4.71,1.4e-05,"Molecular Functions",0.10625,"Core: CASE"
"LOC111134227","GO:0003743","translation initiation factor activity",48,10,1.41,1.1e-06,"Molecular Functions",0.208333333333333,"Core: CASE"
"LOC111134328","GO:0005524","ATP binding",1286,56,37.86,0.00215,"Molecular Functions",0.0435458786936236,"Core: CASE"
"LOC111134622","GO:0005524","ATP binding",1286,56,37.86,0.00215,"Molecular Functions",0.0435458786936236,"Core: CASE"
"LOC111134658","GO:0003723","RNA binding",833,60,24.52,0.00083,"Molecular Functions",0.0720288115246098,"Core: CASE"
"LOC111134707","GO:0003723","RNA binding",833,60,24.52,0.00083,"Molecular Functions",0.0720288115246098,"Core: CASE"
"LOC111134830","GO:0061630","ubiquitin protein ligase activity",601,40,17.69,1.5e-06,"Molecular Functions",0.0665557404326123,"Core: CASE"
"LOC111134862","GO:0000253","3-keto sterol reductase activity",1,1,0.03,0.02944,"Molecular Functions",1,"Core: CASE"
